_respondent_id,Q1_Age,Q2_Occupation,Q3_Ethnicity,Q4_Income,Q5_Wardrobe_Size,Q6_Shopping_Frequency,Q7_Current_Brands,Q8_Shopping_Channels,Q9_Spend_Per_Kurti,Q10_Purchase_Triggers,Q11_Style_Preference,Q12_Fabric_Preference,Q13_Color_Preference,Q14_Fit_Preference,Q15_Print_Preference,Q16_Sleeve_Preference,Q16_Neckline_Preference,Q16_Length_Preference,Q17_Bottom_Pairing,Q18_Occasions,Q19_Pack_Interest,Q20_Bundle_Budget,Q21_Discount_Preference,Q22_Fashion_Identity,Q23_Pain_Points,Q24_Return_Anxiety,Q25_Purchase_Intent,_persona
R1539,18-22,Student (School/Undergraduate),Arab/Middle Eastern,No personal income,None,Once in 2-3 months,Meesho/unbranded sellers; Buy during India visits; W for Woman,Buy from India (trips or family shipments),,Impulse/mood shopping,A-line; Anarkali (short flared); Peplum,Pure Cotton; Georgette/Chiffon,"Pastels (peach, lavender, mint, blush); Earthy tones (mustard, rust, olive, brown); Multi-color/prints",Regular/comfort fit,Florals; Embroidered/thread work; Mirror work/sequins; Digital/contemporary prints,Sleeveless,Round neck; V-neck,Just above knee,Leggings/jeggings,,Campus Essentials (3 daily-wear cotton kurtis),80-120 AED,"Flat percentage off (e.g., 20% off); Combo price lower than individual total",I follow trends closely and love experimenting with new styles,Fabric quality doesn't match product photos; Poor delivery experience to UAE (slow/damaged); Difficult or costly returns; No major frustrations,Sometimes - depends on the brand/platform,Might or might not,campus
R1540,28-34,Self-Employed/Freelancer,South Asian,"12,001-20,000 AED",None,Rarely/Never,Libas; W for Woman,Buy from India (trips or family shipments),Above 250 AED,Upcoming festival/occasion; Gift for someone,,Pure Cotton; Rayon; Silk/Chanderi,"Bright/Pop colors (red, yellow, hot pink, orange)",,Embroidered/thread work; Digital/contemporary prints,Short/half sleeves; Bell/statement sleeves,Boat neck,Hip length (above mid-thigh),Jeans/denim; Palazzo pants; Dhoti pants/tulip pants,Parties/date nights,Festive Glow (2 embroidered/silk kurtis),80-120 AED,Combo price lower than individual total,I have a set style - I know what works and stick to it,Too expensive for the quality offered; Poor delivery experience to UAE (slow/damaged),Rarely - I'm usually okay with online purchases,Definitely would buy,festive
R1541,Under 18,Working Professional,South Asian,,More than 20,Once in 2-3 months,Anouk (Myntra); Local UAE stores/boutiques,"Online marketplaces (Amazon, Noon, Namshi); Instagram/Social media shops",30-60 AED,Need for daily/work wardrobe refresh; Gift for someone; Impulse/mood shopping,A-line; Asymmetric/high-low hem; Crop kurti; Kaftan-style,No preference,"Pastels (peach, lavender, mint, blush); Bright/Pop colors (red, yellow, hot pink, orange)",Relaxed/loose fit,Solid/plain; Mirror work/sequins; Digital/contemporary prints,Full sleeves; Bell/statement sleeves,Round neck,Mid-thigh,Skirts; Dhoti pants/tulip pants,Daily college/university wear; Casual outings/errands,"Vibe Check Drop (1 trendy statement piece, monthly limited)",121-180 AED,"I don't need discounts - I buy if I like the product; Flat percentage off (e.g., 20% off); First-order discount",I follow trends closely and love experimenting with new styles,Limited trendy options for short kurtis,Rarely - I'm usually okay with online purchases,Might or might not,trend
R1542,18-22,Student (School/Undergraduate),Arab/Middle Eastern,"3,000-7,000 AED",6-12,2-3 times a month,Anouk (Myntra); Meesho/unbranded sellers; Local UAE stores/boutiques,Brand websites (D2C online stores); Instagram/Social media shops; Physical stores/malls in UAE,,Sale or discount offer; Impulse/mood shopping,A-line; Kaftan-style,Rayon,"Pastels (peach, lavender, mint, blush); Multi-color/prints",Regular/comfort fit,Solid/plain; Digital/contemporary prints,Short/half sleeves,Round neck; V-neck,Knee length,Jeans/denim; Leggings/jeggings,Daily college/university wear; Family gatherings/dinners,Festive Glow (2 embroidered/silk kurtis); None - I prefer buying single pieces,80-120 AED,"Flat percentage off (e.g., 20% off); Buy 2 Get 1 Free; Free delivery",I love mixing Indian and Western styles to create my own look,Sizing is inconsistent across brands; Limited trendy options for short kurtis; Not enough options for my size,Sometimes - depends on the brand/platform,Definitely would not,campus
R1543,23-27,Homemaker,South Asian,"12,001-20,000 AED",13-20,2-3 times a month,Libas,Buy from India (trips or family shipments),Above 250 AED,Upcoming festival/occasion,Anarkali (short flared); Kaftan-style,Muslin,"Jewel tones (emerald, maroon, royal blue, deep purple); Bright/Pop colors (red, yellow, hot pink, orange); Multi-color/prints",Regular/comfort fit,Solid/plain,Full sleeves,V-neck,Mid-thigh; Knee length,Cigarette/straight pants; Skirts; Sharara,"Casual outings/errands; Festivals (Diwali, Eid, etc.); Weekend/lounging",Festive Glow (2 embroidered/silk kurtis),Above 250 AED,"Flat percentage off (e.g., 20% off); First-order discount; Referral rewards",I have a set style - I know what works and stick to it,Limited trendy options for short kurtis,Never - I'm confident buying online,Definitely would buy,festive
R1544,23-27,Working Professional,Arab/Middle Eastern,No personal income,6-12,Once in 2-3 months,Libas; Anouk (Myntra); Meesho/unbranded sellers,Instagram/Social media shops; Physical stores/malls in UAE,Under 30 AED,Upcoming festival/occasion; Need for daily/work wardrobe refresh; Gift for someone,Straight-cut; Shirt-style/collar,Pure Cotton; Cotton-Linen blend; Rayon,"Neutrals (black, white, beige, grey); Bright/Pop colors (red, yellow, hot pink, orange)",Relaxed/loose fit,Solid/plain; Embroidered/thread work,3/4th sleeves,,,Leggings/jeggings; Cigarette/straight pants,Office/workplace,Campus Essentials (3 daily-wear cotton kurtis),Under 80 AED,Combo price lower than individual total; Free delivery; Buy 2 Get 1 Free,I love mixing Indian and Western styles to create my own look,Fabric quality doesn't match product photos,Never - I'm confident buying online,Definitely would buy,professional
R1545,18-22,Homemaker,Arab/Middle Eastern,"3,000-7,000 AED",None,Rarely/Never,I don't buy kurtis currently,Physical stores/malls in UAE,Above 250 AED,Saw something trending on social media,Kaftan-style,No preference,"Pastels (peach, lavender, mint, blush)",Regular/comfort fit,Digital/contemporary prints,3/4th sleeves,Round neck,Hip length (above mid-thigh),Jeans/denim,I don't wear kurtis currently,Campus Essentials (3 daily-wear cotton kurtis); None - I prefer buying single pieces,181-250 AED,Buy 2 Get 1 Free,I only dress up for occasions - daily wear is minimal effort,No major frustrations,"Yes, frequently - it's a major concern",Probably would not,non_customer
R1546,28-34,Homemaker,Arab/Middle Eastern,No personal income,More than 20,Once a month,Libas; W for Woman; Anouk (Myntra),Brand websites (D2C online stores); Physical stores/malls in UAE; Buy from India (trips or family shipments),Under 30 AED,New season or collection drop; Gift for someone,Straight-cut; Crop kurti,Cotton-Linen blend; Georgette/Chiffon; Muslin,"Pastels (peach, lavender, mint, blush); Jewel tones (emerald, maroon, royal blue, deep purple); Multi-color/prints",Flared/breezy fit,Embroidered/thread work; Mirror work/sequins,3/4th sleeves; Bell/statement sleeves,Boat neck; Keyhole/cut-out,Mid-thigh; Knee length,Dhoti pants/tulip pants; Sharara,"Daily college/university wear; Casual outings/errands; Festivals (Diwali, Eid, etc.)","Vibe Check Drop (1 trendy statement piece, monthly limited); None - I prefer buying single pieces",181-250 AED,"Flat percentage off (e.g., 20% off); Buy 2 Get 1 Free; First-order discount",I only dress up for occasions - daily wear is minimal effort,Fabric quality doesn't match product photos,Never - I'm confident buying online,Might or might not,festive
R1547,35 and above,Working Professional,South Asian,"Above 20,000 AED",More than 20,Once a month,Libas,"Online marketplaces (Amazon, Noon, Namshi)",61-100 AED,Gift for someone,Straight-cut; A-line; Anarkali (short flared),Muslin; Denim-look fabric,"Earthy tones (mustard, rust, olive, brown)",Relaxed/loose fit,Block print/Jaipur print; Solid/plain; Stripes/checks,Full sleeves; 3/4th sleeves; Short/half sleeves,Round neck,Mid-thigh; Knee length,Cigarette/straight pants,Casual outings/errands; Family gatherings/dinners,Campus Essentials (3 daily-wear cotton kurtis),181-250 AED,Free delivery,,Fabric quality doesn't match product photos; Not enough options for my size,Rarely - I'm usually okay with online purchases,Definitely would buy,minimalist
R1548,28-34,Homemaker,South Asian,"Above 20,000 AED",More than 20,Only during festivals/occasions,Libas; Biba; Local UAE stores/boutiques,"Online marketplaces (Amazon, Noon, Namshi)",,Upcoming festival/occasion; Gift for someone,Straight-cut; Shirt-style/collar; Anarkali (short flared); Kaftan-style,Rayon; Muslin,"Jewel tones (emerald, maroon, royal blue, deep purple); Bright/Pop colors (red, yellow, hot pink, orange)",Relaxed/loose fit,Florals; Embroidered/thread work,Short/half sleeves,Mandarin/band collar,Just above knee,Sharara,"Festivals (Diwali, Eid, etc.); Family gatherings/dinners; Parties/date nights",Campus Essentials (3 daily-wear cotton kurtis),Under 80 AED,Referral rewards,I prioritize comfort and practicality above everything,No major frustrations,"Yes, frequently - it's a major concern",Definitely would buy,festive
R1549,18-22,Student (School/Undergraduate),South Asian,"Under 3,000 AED",6-12,Weekly,Local UAE stores/boutiques,Brand websites (D2C online stores),30-60 AED,,Shirt-style/collar; Peplum; Asymmetric/high-low hem,Pure Cotton; Rayon,"Jewel tones (emerald, maroon, royal blue, deep purple); Multi-color/prints",Flared/breezy fit,Solid/plain,Short/half sleeves,V-neck,Hip length (above mid-thigh),Jeans/denim; Leggings/jeggings,"Daily college/university wear; Casual outings/errands; Festivals (Diwali, Eid, etc.)",Campus Essentials (3 daily-wear cotton kurtis),80-120 AED,Buy 2 Get 1 Free; First-order discount,I follow trends closely and love experimenting with new styles,Sizing is inconsistent across brands; Too expensive for the quality offered; Difficult or costly returns; Can't find good curated sets/bundles,Sometimes - depends on the brand/platform,Definitely would buy,campus
R1550,23-27,Student (School/Undergraduate),South Asian,"3,000-7,000 AED",6-12,2-3 times a month,Instagram/WhatsApp small brands; Buy during India visits; Meesho/unbranded sellers,"Online marketplaces (Amazon, Noon, Namshi)",61-100 AED,Saw something trending on social media; New season or collection drop,Peplum; Kaftan-style,Denim-look fabric,"Bright/Pop colors (red, yellow, hot pink, orange)",Slim/body-hugging fit,,3/4th sleeves; Bell/statement sleeves,Mandarin/band collar; Boat neck; Keyhole/cut-out,Hip length (above mid-thigh); Knee length,Jeans/denim; Leggings/jeggings; Cigarette/straight pants; Dhoti pants/tulip pants,Casual outings/errands,"Vibe Check Drop (1 trendy statement piece, monthly limited); None - I prefer buying single pieces",181-250 AED,Combo price lower than individual total; First-order discount; Referral rewards,I follow trends closely and love experimenting with new styles,Fabric quality doesn't match product photos; Too expensive for the quality offered,Sometimes - depends on the brand/platform,Probably would buy,trend
R1551,28-34,Student (School/Undergraduate),African,"12,001-20,000 AED",1-5,Only during festivals/occasions,Libas,Physical stores/malls in UAE,30-60 AED,Gift for someone,Kaftan-style,Pure Cotton,"Bright/Pop colors (red, yellow, hot pink, orange)",Flared/breezy fit,Embroidered/thread work,Short/half sleeves,Round neck,Knee length,Jeans/denim,I don't wear kurtis currently,None - I prefer buying single pieces,121-180 AED,"Flat percentage off (e.g., 20% off); Buy 2 Get 1 Free",I only dress up for occasions - daily wear is minimal effort,No major frustrations,Never - I'm confident buying online,Probably would not,non_customer
R1552,23-27,Homemaker,South Asian,"Under 3,000 AED",More than 20,Only during festivals/occasions,Biba; Libas; Local UAE stores/boutiques,Instagram/Social media shops; Physical stores/malls in UAE,61-100 AED,Upcoming festival/occasion,A-line,Georgette/Chiffon; Silk/Chanderi,"Jewel tones (emerald, maroon, royal blue, deep purple); Multi-color/prints",Regular/comfort fit,Stripes/checks; Embroidered/thread work; Mirror work/sequins,3/4th sleeves; Bell/statement sleeves,Round neck,Knee length; Just above knee,,Family gatherings/dinners,Campus Essentials (3 daily-wear cotton kurtis); Festive Glow (2 embroidered/silk kurtis); None - I prefer buying single pieces,Above 250 AED,Combo price lower than individual total,I have a set style - I know what works and stick to it,Poor delivery experience to UAE (slow/damaged),Rarely - I'm usually okay with online purchases,Probably would buy,festive
R1553,28-34,Working Professional,Southeast Asian,"7,001-12,000 AED",13-20,Once in 2-3 months,W for Woman,"Online marketplaces (Amazon, Noon, Namshi); Brand websites (D2C online stores); Buy from India (trips or family shipments)",,New season or collection drop; Gift for someone,Straight-cut; A-line; Kaftan-style,,"Earthy tones (mustard, rust, olive, brown); Neutrals (black, white, beige, grey)",Slim/body-hugging fit,Block print/Jaipur print; Solid/plain,3/4th sleeves,Mandarin/band collar; Boat neck,Mid-thigh; Knee length,Jeans/denim; Palazzo pants,,9-to-5 Edit (3 workwear kurtis); None - I prefer buying single pieces,80-120 AED,I don't need discounts - I buy if I like the product,I have a set style - I know what works and stick to it,Fabric quality doesn't match product photos; Difficult or costly returns,Rarely - I'm usually okay with online purchases,Might or might not,minimalist
R1554,Under 18,Student (School/Undergraduate),Western/European,"Above 20,000 AED",None,Only during festivals/occasions,I don't buy kurtis currently,Physical stores/malls in UAE,30-60 AED,Sale or discount offer,Shirt-style/collar,Cotton-Linen blend; No preference,"Pastels (peach, lavender, mint, blush)",Regular/comfort fit,Solid/plain,Sleeveless,Round neck,Mid-thigh,Leggings/jeggings,I don't wear kurtis currently,None - I prefer buying single pieces,Under 80 AED,First-order discount; I don't need discounts - I buy if I like the product,I only dress up for occasions - daily wear is minimal effort,Sizing is inconsistent across brands; No major frustrations,Rarely - I'm usually okay with online purchases,Definitely would buy,non_customer
R1555,18-22,Student (School/Undergraduate),South Asian,No personal income,13-20,2-3 times a month,Anouk (Myntra),Instagram/Social media shops; Physical stores/malls in UAE,30-60 AED,Sale or discount offer; Saw something trending on social media,A-line; Crop kurti,Pure Cotton; Cotton-Linen blend; Rayon,"Bright/Pop colors (red, yellow, hot pink, orange)",Relaxed/loose fit,Geometric/abstract; Solid/plain; Stripes/checks; Digital/contemporary prints,Short/half sleeves,Round neck,Hip length (above mid-thigh); Just above knee,Jeans/denim; Dhoti pants/tulip pants,Casual outings/errands,Campus Essentials (3 daily-wear cotton kurtis),Above 250 AED,Buy 2 Get 1 Free; Combo price lower than individual total; First-order discount,I prioritize comfort and practicality above everything,Limited trendy options for short kurtis; Poor delivery experience to UAE (slow/damaged),Sometimes - depends on the brand/platform,Definitely would buy,campus
R1556,23-27,Student (School/Undergraduate),South Asian,No personal income,,Once in 2-3 months,Meesho/unbranded sellers,Instagram/Social media shops; Physical stores/malls in UAE,Under 30 AED,Upcoming festival/occasion; Saw something trending on social media,Straight-cut; Peplum,Pure Cotton,"Pastels (peach, lavender, mint, blush); Multi-color/prints",Relaxed/loose fit,Florals; Solid/plain; Stripes/checks; Mirror work/sequins; Digital/contemporary prints,Short/half sleeves; Sleeveless,Round neck; V-neck; Mandarin/band collar,Mid-thigh; Knee length,Jeans/denim; Leggings/jeggings; Palazzo pants; Skirts,Daily college/university wear; Casual outings/errands; Parties/date nights,9-to-5 Edit (3 workwear kurtis),80-120 AED,"First-order discount; Flat percentage off (e.g., 20% off); Combo price lower than individual total",I follow trends closely and love experimenting with new styles,Fabric quality doesn't match product photos; Difficult or costly returns; Can't find good curated sets/bundles,"Yes, frequently - it's a major concern",Probably would buy,campus
R1557,18-22,Homemaker,South Asian,,1-5,Only during festivals/occasions,Anouk (Myntra); Buy during India visits,"Online marketplaces (Amazon, Noon, Namshi); Physical stores/malls in UAE",151-250 AED,Upcoming festival/occasion; Gift for someone; Impulse/mood shopping,A-line,Georgette/Chiffon; Muslin,"Pastels (peach, lavender, mint, blush); Jewel tones (emerald, maroon, royal blue, deep purple); Multi-color/prints",Relaxed/loose fit,Florals; Block print/Jaipur print,3/4th sleeves,Round neck; Boat neck; Keyhole/cut-out,Just above knee; Knee length,Leggings/jeggings; Palazzo pants; Sharara,Family gatherings/dinners,None - I prefer buying single pieces,Above 250 AED,"Flat percentage off (e.g., 20% off)",I have a set style - I know what works and stick to it,Fabric quality doesn't match product photos; Poor delivery experience to UAE (slow/damaged); Can't find good curated sets/bundles,Sometimes - depends on the brand/platform,Definitely would buy,festive
R1558,18-22,Working Professional,Southeast Asian,"12,001-20,000 AED",None,Once in 2-3 months,Local UAE stores/boutiques,"Online marketplaces (Amazon, Noon, Namshi); Instagram/Social media shops",,Need for daily/work wardrobe refresh,A-line,Pure Cotton,"Earthy tones (mustard, rust, olive, brown); Jewel tones (emerald, maroon, royal blue, deep purple)",Slim/body-hugging fit,Geometric/abstract; Solid/plain,,Boat neck,Just above knee,Jeans/denim; Cigarette/straight pants,Daily college/university wear; Office/workplace; Casual outings/errands,Festive Glow (2 embroidered/silk kurtis),Above 250 AED,Free delivery; First-order discount,I love mixing Indian and Western styles to create my own look,Sizing is inconsistent across brands; Fabric quality doesn't match product photos; Can't find good curated sets/bundles,"Yes, frequently - it's a major concern",Probably would buy,professional
R1559,18-22,Self-Employed/Freelancer,South Asian,"12,001-20,000 AED",13-20,Once a month,Biba; W for Woman; Anouk (Myntra),Buy from India (trips or family shipments),101-150 AED,Need for daily/work wardrobe refresh,Straight-cut; Shirt-style/collar,Pure Cotton,"Earthy tones (mustard, rust, olive, brown)",Relaxed/loose fit,Digital/contemporary prints,3/4th sleeves; Short/half sleeves,Round neck,Knee length,Palazzo pants,Office/workplace,9-to-5 Edit (3 workwear kurtis); None - I prefer buying single pieces,181-250 AED,Free delivery; Combo price lower than individual total; I don't need discounts - I buy if I like the product,,Sizing is inconsistent across brands; Fabric quality doesn't match product photos,Never - I'm confident buying online,Might or might not,minimalist
R1560,28-34,Working Professional,Southeast Asian,"Under 3,000 AED",None,Only during festivals/occasions,Biba; I don't buy kurtis currently,Physical stores/malls in UAE,61-100 AED,New season or collection drop,Straight-cut,No preference,"Neutrals (black, white, beige, grey)",Relaxed/loose fit,Geometric/abstract,Full sleeves; Short/half sleeves,Round neck,Hip length (above mid-thigh); Knee length,Leggings/jeggings,I don't wear kurtis currently,None - I prefer buying single pieces,Under 80 AED,I don't need discounts - I buy if I like the product,I only dress up for occasions - daily wear is minimal effort,Limited trendy options for short kurtis; Difficult or costly returns; No major frustrations,Never - I'm confident buying online,Probably would buy,non_customer
R1561,23-27,Self-Employed/Freelancer,Arab/Middle Eastern,"12,001-20,000 AED",6-12,2-3 times a month,W for Woman; Anouk (Myntra); Buy during India visits,"Online marketplaces (Amazon, Noon, Namshi); Brand websites (D2C online stores)",Above 250 AED,Need for daily/work wardrobe refresh,A-line; Shirt-style/collar,Pure Cotton; Cotton-Linen blend,"Pastels (peach, lavender, mint, blush); Neutrals (black, white, beige, grey); Bright/Pop colors (red, yellow, hot pink, orange)",Slim/body-hugging fit,Stripes/checks,Short/half sleeves,Mandarin/band collar; Shirt collar,Mid-thigh,Cigarette/straight pants,Office/workplace; Casual outings/errands; Parties/date nights,9-to-5 Edit (3 workwear kurtis),121-180 AED,First-order discount,I prioritize comfort and practicality above everything,Poor delivery experience to UAE (slow/damaged); Difficult or costly returns,Never - I'm confident buying online,,professional
R1562,18-22,Student (School/Undergraduate),African,No personal income,More than 20,Rarely/Never,Anouk (Myntra); Meesho/unbranded sellers,"Online marketplaces (Amazon, Noon, Namshi)",30-60 AED,Saw something trending on social media; Need for daily/work wardrobe refresh; Upcoming festival/occasion,A-line; Anarkali (short flared); Peplum,Rayon; Silk/Chanderi; Denim-look fabric,"Pastels (peach, lavender, mint, blush)",Slim/body-hugging fit,,Sleeveless,Shirt collar,Mid-thigh,Leggings/jeggings,"Daily college/university wear; Festivals (Diwali, Eid, etc.); Parties/date nights",Festive Glow (2 embroidered/silk kurtis),80-120 AED,"Flat percentage off (e.g., 20% off)",I prioritize comfort and practicality above everything,Sizing is inconsistent across brands; Limited trendy options for short kurtis; Can't find good curated sets/bundles,Sometimes - depends on the brand/platform,Definitely would buy,campus
R1563,23-27,Self-Employed/Freelancer,Western/European,"3,000-7,000 AED",1-5,Rarely/Never,Local UAE stores/boutiques,Brand websites (D2C online stores),151-250 AED,Sale or discount offer; Need for daily/work wardrobe refresh,A-line,Pure Cotton; Muslin,"Neutrals (black, white, beige, grey)",Flared/breezy fit,Block print/Jaipur print,3/4th sleeves,Round neck; Mandarin/band collar,Mid-thigh; Knee length,Palazzo pants,Casual outings/errands,"Vibe Check Drop (1 trendy statement piece, monthly limited)",Under 80 AED,Combo price lower than individual total,I have a set style - I know what works and stick to it,Sizing is inconsistent across brands,Sometimes - depends on the brand/platform,Might or might not,minimalist
R1564,18-22,Self-Employed/Freelancer,South Asian,"12,001-20,000 AED",6-12,Weekly,Buy during India visits,Physical stores/malls in UAE,30-60 AED,Upcoming festival/occasion; Saw something trending on social media,Straight-cut; A-line; Shirt-style/collar; Kaftan-style,Cotton-Linen blend; Rayon,"Neutrals (black, white, beige, grey)",Regular/comfort fit,Florals,Short/half sleeves,V-neck,Hip length (above mid-thigh),Leggings/jeggings; Cigarette/straight pants,Casual outings/errands; I don't wear kurtis currently,"Vibe Check Drop (1 trendy statement piece, monthly limited)",80-120 AED,Referral rewards,I love mixing Indian and Western styles to create my own look,Sizing is inconsistent across brands; Fabric quality doesn't match product photos,Rarely - I'm usually okay with online purchases,Might or might not,professional
R1565,23-27,Working Professional,South Asian,"7,001-12,000 AED",13-20,Once a month,Instagram/WhatsApp small brands,Instagram/Social media shops,Under 30 AED,Need for daily/work wardrobe refresh,Kaftan-style,Pure Cotton; Muslin,"Earthy tones (mustard, rust, olive, brown)",Regular/comfort fit,Geometric/abstract; Block print/Jaipur print,Full sleeves; 3/4th sleeves,Boat neck,Just above knee,Jeans/denim; Palazzo pants; Dhoti pants/tulip pants,"Festivals (Diwali, Eid, etc.)",None - I prefer buying single pieces,,Free delivery; Combo price lower than individual total,I prioritize comfort and practicality above everything,Poor delivery experience to UAE (slow/damaged); No major frustrations,Sometimes - depends on the brand/platform,Probably would buy,minimalist
R1566,23-27,Working Professional,South Asian,"Under 3,000 AED",6-12,Only during festivals/occasions,W for Woman; Meesho/unbranded sellers; Local UAE stores/boutiques,"Online marketplaces (Amazon, Noon, Namshi); Brand websites (D2C online stores); Buy from India (trips or family shipments)",151-250 AED,Sale or discount offer,Straight-cut,Rayon,"Pastels (peach, lavender, mint, blush); Earthy tones (mustard, rust, olive, brown); Jewel tones (emerald, maroon, royal blue, deep purple)",Regular/comfort fit,Geometric/abstract; Stripes/checks,3/4th sleeves,Shirt collar,Just above knee,Leggings/jeggings; Cigarette/straight pants,Office/workplace,9-to-5 Edit (3 workwear kurtis); None - I prefer buying single pieces,181-250 AED,Combo price lower than individual total,,Fabric quality doesn't match product photos,Sometimes - depends on the brand/platform,Might or might not,professional
R1567,18-22,Self-Employed/Freelancer,Other,"3,000-7,000 AED",1-5,2-3 times a month,Libas,"Online marketplaces (Amazon, Noon, Namshi); Brand websites (D2C online stores); Instagram/Social media shops",61-100 AED,Saw something trending on social media,Straight-cut; A-line; Shirt-style/collar; Anarkali (short flared); Peplum; Asymmetric/high-low hem; Crop kurti; Kaftan-style,Pure Cotton; Cotton-Linen blend; Rayon; Georgette/Chiffon; Silk/Chanderi; Muslin; Denim-look fabric; No preference,"Pastels (peach, lavender, mint, blush); Earthy tones (mustard, rust, olive, brown); Jewel tones (emerald, maroon, royal blue, deep purple); Neutrals (black, white, beige, grey); Bright/Pop colors (red, yellow, hot pink, orange); Multi-color/prints",Relaxed/loose fit,Florals; Geometric/abstract; Block print/Jaipur print; Solid/plain; Stripes/checks; Embroidered/thread work; Mirror work/sequins; Digital/contemporary prints,Full sleeves; 3/4th sleeves; Short/half sleeves; Sleeveless; Bell/statement sleeves,Round neck; V-neck; Mandarin/band collar; Boat neck; Shirt collar; Keyhole/cut-out,Hip length (above mid-thigh),Jeans/denim; Leggings/jeggings; Palazzo pants; Cigarette/straight pants; Skirts; Dhoti pants/tulip pants; Sharara,Daily college/university wear; Casual outings/errands,Campus Essentials (3 daily-wear cotton kurtis),121-180 AED,Free delivery; Combo price lower than individual total,I have a set style - I know what works and stick to it,Sizing is inconsistent across brands,Rarely - I'm usually okay with online purchases,Probably would buy,trend
R1568,18-22,Student (School/Undergraduate),South Asian,,6-12,,Libas; Anouk (Myntra); Instagram/WhatsApp small brands,Buy from India (trips or family shipments),101-150 AED,Saw something trending on social media,A-line; Shirt-style/collar; Anarkali (short flared); Asymmetric/high-low hem,,"Pastels (peach, lavender, mint, blush)",Relaxed/loose fit,,Short/half sleeves; Sleeveless,,Hip length (above mid-thigh),Palazzo pants,Casual outings/errands; Family gatherings/dinners,,80-120 AED,,I prioritize comfort and practicality above everything,Fabric quality doesn't match product photos; Too expensive for the quality offered; Difficult or costly returns,Sometimes - depends on the brand/platform,Definitely would buy,campus
R1569,28-34,Working Professional,African,,None,Once in 2-3 months,Buy during India visits; Local UAE stores/boutiques; Libas,Physical stores/malls in UAE,61-100 AED,Upcoming festival/occasion; Gift for someone,Peplum; Asymmetric/high-low hem,Pure Cotton; Cotton-Linen blend; Georgette/Chiffon,Multi-color/prints,Flared/breezy fit,Stripes/checks,3/4th sleeves,Mandarin/band collar,Knee length,Dhoti pants/tulip pants,"Festivals (Diwali, Eid, etc.); Family gatherings/dinners; Parties/date nights",Festive Glow (2 embroidered/silk kurtis),121-180 AED,Combo price lower than individual total; I don't need discounts - I buy if I like the product,I have a set style - I know what works and stick to it,Not enough options for my size,"Yes, frequently - it's a major concern",Definitely would buy,festive
R1570,18-22,Homemaker,South Asian,,13-20,Once in 2-3 months,Libas; Biba; Buy during India visits,"Online marketplaces (Amazon, Noon, Namshi)",151-250 AED,New season or collection drop,A-line; Shirt-style/collar; Anarkali (short flared),Georgette/Chiffon; Muslin,"Jewel tones (emerald, maroon, royal blue, deep purple); Bright/Pop colors (red, yellow, hot pink, orange); Multi-color/prints",Flared/breezy fit,Digital/contemporary prints,Bell/statement sleeves,V-neck,Just above knee; Knee length,Palazzo pants; Dhoti pants/tulip pants,Family gatherings/dinners,Festive Glow (2 embroidered/silk kurtis); None - I prefer buying single pieces,Above 250 AED,"Referral rewards; Flat percentage off (e.g., 20% off); Combo price lower than individual total",I only dress up for occasions - daily wear is minimal effort,Sizing is inconsistent across brands; Fabric quality doesn't match product photos; Poor delivery experience to UAE (slow/damaged); Difficult or costly returns,Rarely - I'm usually okay with online purchases,Probably would buy,festive
R1571,28-34,Working Professional,Western/European,"7,001-12,000 AED",More than 20,2-3 times a month,Libas; Local UAE stores/boutiques,"Online marketplaces (Amazon, Noon, Namshi)",61-100 AED,Upcoming festival/occasion,A-line; Anarkali (short flared),Georgette/Chiffon; Muslin,"Jewel tones (emerald, maroon, royal blue, deep purple)",Slim/body-hugging fit,Embroidered/thread work,Bell/statement sleeves,Round neck,Knee length,Sharara,"Daily college/university wear; Office/workplace; Festivals (Diwali, Eid, etc.)",Festive Glow (2 embroidered/silk kurtis),Above 250 AED,Buy 2 Get 1 Free; Combo price lower than individual total; Free delivery,I only dress up for occasions - daily wear is minimal effort,Fabric quality doesn't match product photos; Difficult or costly returns,Rarely - I'm usually okay with online purchases,Definitely would not,festive
R1572,18-22,Student (School/Undergraduate),South Asian,"12,001-20,000 AED",6-12,Once in 2-3 months,Buy during India visits; Instagram/WhatsApp small brands,Instagram/Social media shops,30-60 AED,Sale or discount offer; Saw something trending on social media; Need for daily/work wardrobe refresh,A-line,Silk/Chanderi,"Pastels (peach, lavender, mint, blush)",Flared/breezy fit,Florals; Solid/plain,Short/half sleeves,Round neck,Mid-thigh,Jeans/denim; Leggings/jeggings; Palazzo pants; Dhoti pants/tulip pants,Casual outings/errands; Weekend/lounging,Campus Essentials (3 daily-wear cotton kurtis); None - I prefer buying single pieces,80-120 AED,"Flat percentage off (e.g., 20% off); Free delivery; First-order discount",I follow trends closely and love experimenting with new styles,Limited trendy options for short kurtis; Too expensive for the quality offered; Poor delivery experience to UAE (slow/damaged); Difficult or costly returns; Can't find good curated sets/bundles; Not enough options for my size,Sometimes - depends on the brand/platform,Probably would buy,campus
